listing_id,mls_number,address,neighborhood,city,state,zip_code,price,bedrooms,bathrooms,sqft,year_built,property_type,listing_status,date_listed,last_updated,days_on_market,description,features,owner_name,owner_phone
MLS-100000,A25014631,4415 Country Club Drive,Miami Beach,Miami Beach,FL,33139,1362000,4,1.0,2440,2019,Condo,Active,2026-01-11,2026-01-14,160,"Charming condo located in Miami Beach. Highlights: gym, wine cellar, hardwood floors.",Gym; Wine Cellar; Hardwood Floors; High Ceilings,Carlos Jones,305-700-1319
MLS-100001,A74837853,7009 Granada Boulevard,North Miami,Miami,FL,33181,887000,3,4.5,2043,1990,Single Family,Active,2026-05-20,2026-05-26,31,"Rare opportunity in North Miami! This single family offers smart home, home office, central ac. Don't miss out.",Smart Home; Home Office; Central AC; Tennis Court; Pet Friendly; Hardwood Floors; Waterfront,Camila Rodriguez,305-900-3140
MLS-100002,A92048427,7465 Michigan Avenue,Edgewater,Miami,FL,33137,635000,4,4.0,2010,1966,Multi-Family,Active,2026-01-19,2026-01-20,152,"Luxurious multi-family in prestigious Edgewater. Comes with hardwood floors, gym, terrace. Ideal for remote workers.",Hardwood Floors; Gym; Terrace; Granite Countertops; Pet Friendly; Garage; Walk-in Closet,William Jones,305-811-7367
MLS-100003,A84668420,5998 Bay Harbor Terrace,Coral Gables,Miami,FL,33134,5500000,8,3.0,3435,2022,Multi-Family,Pending,2026-06-11,2026-06-19,9,"Rare opportunity in Coral Gables! This multi-family offers rooftop, balcony, pool. Don't miss out.",Rooftop; Balcony; Pool; Stainless Steel Appliances,Carlos Perez,305-766-9376
MLS-100004,A28198434,7115 Granada Boulevard,Aventura,Miami,FL,33180,1532000,3,5.0,2255,1965,Villa,Active,2026-01-21,2026-01-26,150,"Charming villa located in Aventura. Highlights: walk-in closet, waterfront, high ceilings.",Walk-in Closet; Waterfront; High Ceilings; Hardwood Floors; Terrace; Garden; Balcony,Michael Moore,305-895-2560
MLS-100005,A67405358,2298 Country Club Drive,North Miami,Miami,FL,33181,628000,6,4.0,2715,2007,Multi-Family,Pending,2026-01-01,2026-01-05,170,"Charming multi-family located in North Miami. Highlights: pool, solar panels, terrace.",Pool; Solar Panels; Terrace; Home Office,Robert Williams,305-825-7643
MLS-100006,A45346140,9259 Old Cutler Road,Doral,Miami,FL,33172,830000,5,2.5,3891,2019,Villa,Pending,2026-03-25,2026-04-01,87,"Beautiful villa in the heart of Doral. Features include private beach access, gated community, waterfront. Perfect for professionals.",Private Beach Access; Gated Community; Waterfront; Hurricane Impact Windows; High Ceilings,William Johnson,305-660-5844
MLS-100007,A10022778,6707 NW 41st Street,Bal Harbour,Miami,FL,33154,6625000,5,3.5,3900,2017,Single Family,Active,2026-02-21,2026-02-26,119,"Beautiful single family in the heart of Bal Harbour. Features include smart home, solar panels, boat dock. Perfect for families.",Smart Home; Solar Panels; Boat Dock,Daniel Wilson,305-236-9996
MLS-100008,A86868379,6909 Bay Harbor Terrace,North Miami,Miami,FL,33181,382000,5,3.0,2778,1986,Multi-Family,Active,2026-04-02,2026-04-02,79,"Charming multi-family located in North Miami. Highlights: stainless steel appliances, high ceilings, balcony.",Stainless Steel Appliances; High Ceilings; Balcony; Hardwood Floors; Wine Cellar,Elena Taylor,305-723-2854
MLS-100009,A27318510,1512 Brickell Avenue,Brickell,Miami,FL,33131,1055000,4,3.5,2338,2014,Townhouse,Active,2026-01-19,2026-01-20,152,"Charming townhouse located in Brickell. Highlights: terrace, boat dock, bay view.",Terrace; Boat Dock; Bay View; Pet Friendly,Ana Johnson,305-998-3981
MLS-100010,A43808923,2030 Ocean Drive,Miami Beach,Miami Beach,FL,33139,1367746,3,2.5,1820,2015,Condo,Active,2026-06-10,2026-06-09,28,Beautiful condo in Miami Beach - rare find.,Pool; Modern Kitchen; Garage; Balcony,Juan Garcia,305-808-4552
MLS-100011,A62080854,8910 Michigan Avenue,Edgewater,Miami,FL,33137,1470000,3,2.0,2618,1959,Single Family,Active,2026-05-24,2026-05-25,27,"Beautiful single family in the heart of Edgewater. Features include hardwood floors, home office, walk-in closet. Perfect for retirees.",Hardwood Floors; Home Office; Walk-in Closet,Antonio Gonzalez,305-464-7678
MLS-100012,A87507357,3476 Brickell Avenue,Wynwood,Miami,FL,33127,973000,2,3.5,2256,1962,Single Family,Pending,2026-04-14,2026-04-14,67,"Stunning Wynwood single family with pet friendly, stainless steel appliances, high ceilings. Move-in ready. families.",Pet Friendly; Stainless Steel Appliances; High Ceilings; Granite Countertops; Wine Cellar; Home Office,William Brown,305-439-6224
MLS-100013,A87029205,2034 Collins Avenue,Coral Gables,Miami,FL,33134,1028000,4,3.0,2336,2017,Townhouse,Active Under Contract,2026-01-06,2026-01-07,165,"Rare opportunity in Coral Gables! This townhouse offers pet friendly, marble floors, gym. Don't miss out.",Pet Friendly; Marble Floors; Gym; Ocean View; Smart Home; Central AC,Emily Perez,305-991-2685
MLS-100014,A92427773,5978 Collins Avenue,Pinecrest,Miami,FL,33156,1776000,3,2.5,1904,1994,Townhouse,Active,2026-02-10,2026-02-10,130,"Beautiful townhouse in the heart of Pinecrest. Features include ocean view, stainless steel appliances, waterfront. Perfect for professionals.",Ocean View; Stainless Steel Appliances; Waterfront,William Diaz,305-200-6435
MLS-100015,A17772004,1450 Star Island Drive,Bal Harbour,Miami,FL,33154,2750000,3,3.0,2079,2000,Villa,Active,2026-04-24,2026-04-26,57,"Beautiful villa in the heart of Bal Harbour. Features include terrace, concierge, central ac. Perfect for remote workers.",Terrace; Concierge; Central AC; Boat Dock; Wine Cellar; Gated Community; Tennis Court,Linda Wilson,305-947-4909
MLS-100016,A58781345,5926 Harbor Drive,Doral,Miami,FL,33172,635000,3,2.0,1876,1973,Townhouse,Active,2026-02-16,2026-02-17,124,"Stunning Doral townhouse with balcony, tennis court, boat dock. Move-in ready. first-time buyers.",Balcony; Tennis Court; Boat Dock; Garden; Wine Cellar; Pet Friendly,Jennifer Johnson,305-831-5227
MLS-100017,A24464073,4883 Hibiscus Drive,Aventura,Miami,FL,33180,485000,4,4.5,2671,1992,Villa,Active,2026-02-09,2026-02-11,131,"Luxurious villa in prestigious Aventura. Comes with garage, walk-in closet, waterfront. Ideal for urban living enthusiasts.",Garage; Walk-in Closet; Waterfront; Granite Countertops; Gated Community; Hurricane Impact Windows,Robert Anderson,305-395-6536
MLS-100018,A88777447,8437 NE 2nd Avenue,Coconut Grove,Miami,FL,33133,2889000,8,6.0,3649,1987,Multi-Family,Pending,2026-03-09,2026-03-12,103,"Charming multi-family located in Coconut Grove. Highlights: marble floors, solar panels, updated kitchen.",Marble Floors; Solar Panels; Updated Kitchen; Bay View; Walk-in Closet; Wine Cellar; Doorman,Michael Rodriguez,305-489-5891
MLS-100019,A34144323,6316 Coral Way,Edgewater,Miami,FL,33137,743000,3,3.0,1591,1990,Townhouse,Pending,2026-04-08,2026-04-15,73,"Rare opportunity in Edgewater! This townhouse offers terrace, gym, hardwood floors. Don't miss out.",Terrace; Gym; Hardwood Floors; Smart Home; Doorman; Granite Countertops; Home Office,Ana Davis,305-486-8384
MLS-100020,A25492573,8388 SW 27th Avenue,Edgewater,Miami,FL,33137,459000,2,1.0,1250,1990,Condo,Active,2026-02-23,2026-03-03,117,"Charming condo located in Edgewater. Highlights: waterfront, home office, boat dock.",Waterfront; Home Office; Boat Dock; Marble Floors; Pool,Linda Smith,305-337-5333
MLS-100021,A75874779,4448 Crandon Boulevard,Wynwood,Miami,FL,33127,502000,2,1.5,1633,1977,Condo,Active,2026-05-16,2026-05-17,35,"Charming condo located in Wynwood. Highlights: waterfront, pool, wine cellar.",Waterfront; Pool; Wine Cellar; High Ceilings; Ocean View; Smart Home,Luis Diaz,305-788-5501
MLS-100022,A97182566,670 Ponce de Leon Boulevard,Doral,Miami,FL,33172,937000,4,5.0,3444,2008,Single Family,Active,2026-01-21,2026-01-21,150,"Stunning Doral single family with updated kitchen, tennis court, pet friendly. Move-in ready. retirees.",Updated Kitchen; Tennis Court; Pet Friendly; Gym; Gated Community; Private Beach Access; Bay View,William Hernandez,305-607-6150
MLS-100023,A65963010,4109 Hibiscus Drive,Miami Beach,Miami Beach,FL,33139,600000,3,2.0,1589,2019,Townhouse,Active,2026-06-06,2026-06-08,14,"Rare opportunity in Miami Beach! This townhouse offers tennis court, central ac, gated community. Don't miss out.",Tennis Court; Central AC; Gated Community,Luis Martinez,305-250-2784
MLS-100024,A88268756,4154 Biscayne Boulevard,Edgewater,Miami,FL,33137,733000,5,4.0,3597,2014,Villa,Active,2026-05-18,2026-05-18,33,"Charming villa located in Edgewater. Highlights: rooftop, marble floors, granite countertops.",Rooftop; Marble Floors; Granite Countertops; Central AC; High Ceilings; Updated Kitchen; Hardwood Floors,James Smith,305-896-4365
MLS-100025,A14478111,459 Euclid Avenue,Coconut Grove,Miami,FL,33133,1806000,2,2.0,1620,2003,Townhouse,Pending,2026-04-18,2026-04-27,63,"Stunning Coconut Grove townhouse with stainless steel appliances, boat dock, granite countertops. Move-in ready. remote workers.",Stainless Steel Appliances; Boat Dock; Granite Countertops; Waterfront; Walk-in Closet,Sofia Garcia,305-516-8222
MLS-100026,A41715995,1521 Euclid Avenue,Pinecrest,Miami,FL,33156,1877000,3,2.5,2643,1993,Single Family,Active,2026-06-14,2026-06-18,6,"Charming single family located in Pinecrest. Highlights: stainless steel appliances, pet friendly, wine cellar.",Stainless Steel Appliances; Pet Friendly; Wine Cellar; Walk-in Closet; Terrace; Balcony,Carlos Perez,305-869-6890
MLS-100027,A76960098,2852 Michigan Avenue,South Beach,Miami Beach,FL,33139,4000000,8,3.0,3791,1994,Multi-Family,Active,2026-03-17,2026-03-20,95,"Charming multi-family located in South Beach. Highlights: walk-in closet, pet friendly, rooftop.",Walk-in Closet; Pet Friendly; Rooftop; Updated Kitchen,Camila Gonzalez,305-862-5835
MLS-100028,A22138759,9237 Meridian Avenue,South Beach,Miami Beach,FL,33139,1522000,2,2.5,1817,2007,Villa,Active Under Contract,2026-04-03,2026-04-10,78,"Charming villa located in South Beach. Highlights: doorman, balcony, waterfront.",Doorman; Balcony; Waterfront; Hurricane Impact Windows,David Anderson,305-861-8400
MLS-100029,A62497139,2825 Washington Avenue,Aventura,Miami,FL,33180,2000000,5,5.0,3554,2000,Villa,Active,19/05/2026,19/05/2026,32,"Charming villa located in Aventura. Highlights: walk-in closet, stainless steel appliances, marble floors.",Walk-in Closet; Stainless Steel Appliances; Marble Floors,Sarah Gonzalez,305-656-7129
MLS-100030,A33231136,5049 Star Island Dr,Mid-Beach,Miami Beach,FL,33140,2500000,8,6.0,3644,2010,Multi-Family,Active Under Contract,2026-05-06,2026-05-13,45,"Luxurious multi-family in prestigious Mid-Beach. Comes with bay view, terrace, granite countertops. Ideal for first-time buyers.",Bay View; Terrace; Granite Countertops; Gated Community; Garden; Central AC,Antonio Jones,305-757-4869
MLS-100031,A87149161,5800 Pine Tree Drive,North Beach,Miami Beach,FL,33141,1378000,5,5.0,2829,1984,Multi-Family,Active,2026-03-27,2026-03-28,85,"Stunning North Beach multi-family with balcony, garage, hardwood floors. Move-in ready. remote workers.",Balcony; Garage; Hardwood Floors; Gym,William Davis,305-628-3258
MLS-100032,A79324022,7354 Meridian Avenue,Coral Gables,Miami,FL,33134,5500000,5,5.0,3428,2007,Villa,Pending,2025-12-23,2025-12-30,179,"Stunning Coral Gables villa with private beach access, pool, smart home. Move-in ready. remote workers.",Private Beach Access; Pool; Smart Home; Garage; Walk-in Closet; Bay View; Concierge,Jennifer Jones,305-622-6785
MLS-100033,A31139813,5682 Main Highway,Brickell,Miami,FL,33131,666000,2,2.0,1151,1986,Townhouse,Active Under Contract,2026-05-18,2026-05-26,33,"Beautiful townhouse in the heart of Brickell. Features include bay view, gym, garden. Perfect for retirees.",Bay View; Gym; Garden; Tennis Court; Concierge,Luis Brown,305-530-3235
MLS-100034,A61343880,9273 Jefferson Avenue,Aventura,Miami,FL,33180,1720000,3,2.5,2192,1995,Villa,Active,2026-03-02,2026-03-02,110,"Stunning Aventura villa with solar panels, hurricane impact windows, terrace. Move-in ready. first-time buyers.",Solar Panels; Hurricane Impact Windows; Terrace; Home Office,Michael Williams,305-918-2771
MLS-100035,A90973889,9679 Coral Way,Brickell,Miami,FL,33131,521000,1,1.5,1060,2014,Condo,Active,2026-05-16,2026-05-24,35,"Beautiful condo in the heart of Brickell. Features include wine cellar, granite countertops, pet friendly. Perfect for urban living enthusiasts.",Wine Cellar; Granite Countertops; Pet Friendly; Balcony; Walk-in Closet,Juan Williams,305-902-5984
MLS-100036,A75313057,9535 Mashta Drive,Brickell,Miami,FL,33131,1589000,4,5.0,2857,2007,Single Family,Active,2026-04-26,2026-04-28,55,"Luxurious single family in prestigious Brickell. Comes with smart home, home office, pool. Ideal for first-time buyers.",Smart Home; Home Office; Pool; Hardwood Floors,David Moore,305-746-6172
MLS-100037,A19957701,8195 Kane Concourse,Downtown Miami,Miami,FL,33130,1500000,5,4.5,3889,2024,Villa,Active,2026-03-25,2026-04-04,87,"Rare opportunity in Downtown Miami! This villa offers updated kitchen, pet friendly, bay view. Don't miss out.",Updated Kitchen; Pet Friendly; Bay View; Smart Home; Boat Dock,Antonio Garcia,305-560-9312
MLS-100038,A34084236,3877 Sunset Drive,Coral Gables,Miami,FL,33134,3263000,2,1.0,1548,1997,Condo,Active,2026-04-27,2026-04-30,54,"Beautiful condo in the heart of Coral Gables. Features include walk-in closet, solar panels, central ac. Perfect for investors.",Walk-in Closet; Solar Panels; Central AC; Wine Cellar; Marble Floors; Waterfront,Robert Brown,305-432-6912
MLS-100039,A79490249,9922 Country Club Drive,South Beach,Miami Beach,FL,33139,3195000,4,4.0,2762,2002,Villa,Active,2026-04-15,2026-04-25,66,"Luxurious villa in prestigious South Beach. Comes with hardwood floors, bay view, walk-in closet. Ideal for urban living enthusiasts.",Hardwood Floors; Bay View; Walk-in Closet,Ana Davis,305-615-4281
MLS-100040,A56189726,9310 Lincoln Road,Coral Gables,Miami,FL,33134,1349000,4,4.0,1861,1995,Multi-Family,Active,2026-02-14,2026-02-24,126,"Rare opportunity in Coral Gables! This multi-family offers pet friendly, solar panels, terrace. Don't miss out.",Pet Friendly; Solar Panels; Terrace,Ana Taylor,305-770-5222
MLS-100041,A53737494,5512 Indian Creek Drive,Downtown Miami,Miami,FL,33130,1221000,8,3.0,3466,2019,Multi-Family,Pending,2026-02-13,2026-02-20,127,"Stunning Downtown Miami multi-family with balcony, wine cellar, gym. Move-in ready. retirees.",Balcony; Wine Cellar; Gym; Waterfront,William Smith,305-615-2752
MLS-100042,A83571770,8946 Alhambra Circle,Pinecrest,Miami,FL,33156,1548000,3,2.5,1451,2010,Townhouse,Active,2026-02-21,2026-03-02,119,"Rare opportunity in Pinecrest! This townhouse offers marble floors, bay view, stainless steel appliances. Don't miss out.",Marble Floors; Bay View; Stainless Steel Appliances; Doorman; Balcony; Concierge; Updated Kitchen,Juan Diaz,305-785-1807
MLS-100043,A90115852,6538 Harbor Drive,Downtown Miami,Miami,FL,33130,1232000,4,4.0,3249,2014,Villa,Active,2026-03-31,2026-04-07,81,"Luxurious villa in prestigious Downtown Miami. Comes with gym, terrace, tennis court. Ideal for families.",Gym; Terrace; Tennis Court,Antonio Brown,305-942-1436
MLS-100044,A67722445,1493 Euclid Avenue,Coral Gables,Miami,FL,33134,5500000,5,5.0,3266,2013,Villa,Active,2026-01-23,2026-01-26,148,"Charming villa located in Coral Gables. Highlights: concierge, boat dock, central ac.",Concierge; Boat Dock; Central AC; Granite Countertops; High Ceilings; Waterfront,Jennifer Gonzalez,305-273-5362
MLS-100045,A72234675,8864 Collins Avenue,South Beach,Miami Beach,FL,33139,600000,1,2.0,875,2002,Condo,Active Under Contract,2026-06-13,2026-06-16,7,"Rare opportunity in South Beach! This condo offers updated kitchen, pool, smart home. Don't miss out.",Updated Kitchen; Pool; Smart Home,Patricia Brown,305-710-7084
MLS-100046,A74683506,6838 Bay Harbor Terrace,North Beach,Miami Beach,FL,33141,958000,3,3.0,2898,2004,Single Family,Active,2026-01-19,2026-01-28,152,"Charming single family located in North Beach. Highlights: tennis court, private beach access, terrace.",Tennis Court; Private Beach Access; Terrace; Marble Floors,Sofia Wilson,305-877-5072
MLS-100047,A25568500,3969 NE 199th Street,Coral Gables,Miami,FL,33134,4668000,4,1.0,2151,1987,Condo,Active,2026-01-14,2026-01-16,157,"Stunning Coral Gables condo with wine cellar, doorman, hurricane impact windows. Move-in ready. first-time buyers.",Wine Cellar; Doorman; Hurricane Impact Windows; Concierge; Stainless Steel Appliances; Tennis Court,Robert Hernandez,305-255-5331
MLS-100048,A11226946,7650 Granada Boulevard,North Miami,Miami,FL,33181,549000,3,2.5,1959,2008,Townhouse,Active,2026-01-02,2026-01-02,169,"Stunning North Miami townhouse with ocean view, gated community, private beach access. Move-in ready. first-time buyers.",Ocean View; Gated Community; Private Beach Access; Bay View; Tennis Court; Hurricane Impact Windows; Pool,Jennifer Martinez,305-924-3474
MLS-100049,A57490002,1247 Brickell Avenue,Brickell,Miami,FL,33131,1368387,3,2.5,1800,2015,Condo,Active,2026-04-21,2026-06-02,45,Lovely condo in Brickell.,Pool; Updated Kitchen; Garage,Camila Perez,305-543-5429
MLS-100050,A28223512,9031 Crandon Boulevard,Key Biscayne,Miami,FL,33149,3452000,3,1.5,1592,2002,Condo,Active,2026-03-01,2026-03-03,111,"Beautiful condo in the heart of Key Biscayne. Features include private beach access, tennis court, updated kitchen. Perfect for remote workers.",Private Beach Access; Tennis Court; Updated Kitchen; Pool; Bay View,David Diaz,305-873-8155
MLS-100051,A96960449,9374 Main Highway,Bal Harbour,Miami,FL,33154,2129835,4,2.0,2237,1999,Multi-Family,Active,2025-01-02,2025-02-01,534,Wonderful property in Bal Harbour.,Tennis Court; Hurricane Impact Windows; Bay View; Boat Dock,James Perez,305-987-7995
MLS-100052,A54965270,4877 Harbor Drive,Edgewater,Miami,FL,33137,1497000,4,3.5,3047,2016,Villa,Active,2026-04-26,2026-05-04,55,"Stunning Edgewater villa with updated kitchen, pool, hurricane impact windows. Move-in ready. families.",Updated Kitchen; Pool; Hurricane Impact Windows; Doorman,Sarah Hernandez,305-851-1157
MLS-100053,A21680625,8326 Fisher Island Drive,South Beach,Miami Beach,FL,33139,1236000,3,2.0,2602,1992,Villa,Active,2026-04-22,2026-04-25,59,"Stunning South Beach villa with ocean view, doorman, bay view. Move-in ready. first-time buyers.",Ocean View; Doorman; Bay View; Tennis Court,David Perez,305-527-2097
MLS-100054,A22151134,9507 NE 199th Street,Mid-Beach,Miami Beach,FL,33140,1008000,5,3.0,3875,2003,Single Family,Active,2026-05-01,2026-05-05,50,"Luxurious single family in prestigious Mid-Beach. Comes with bay view, waterfront, garage. Ideal for urban living enthusiasts.",Bay View; Waterfront; Garage; Tennis Court; Rooftop; Wine Cellar,Luis Diaz,305-860-2007
MLS-100055,A11069604,9464 West Avenue,Mid-Beach,Miami Beach,FL,33140,1215000,6,4.5,3714,2002,Single Family,Active,2026-06-04,2026-06-10,16,"Rare opportunity in Mid-Beach! This single family offers rooftop, pet friendly, private beach access. Don't miss out.",Rooftop; Pet Friendly; Private Beach Access,Luis Martinez,305-766-8483
MLS-100056,A95745109,3461 Washington Avenue,Brickell,Miami,FL,33131,1288000,8,3.0,3404,1961,Multi-Family,Active,2025-12-22,2025-12-31,180,"Beautiful multi-family in the heart of Brickell. Features include terrace, pet friendly, rooftop. Perfect for families.",Terrace; Pet Friendly; Rooftop,William Brown,305-223-6114
MLS-100057,A87149951,4283 Ocean Drive,Doral,Miami,FL,33172,794000,6,4.0,2675,2018,Multi-Family,Active,2026-01-16,2026-01-20,155,"Luxurious multi-family in prestigious Doral. Comes with garden, walk-in closet, pet friendly. Ideal for urban living enthusiasts.",Garden; Walk-in Closet; Pet Friendly; Balcony; Granite Countertops; Concierge,Sofia Gonzalez,305-590-6881
MLS-100058,A30395330,7146 Alhambra Circle,Brickell,Miami,FL,33131,1147000,3,3.0,2056,1980,Villa,Active,2026-04-29,2026-05-04,52,"Luxurious villa in prestigious Brickell. Comes with solar panels, pool, wine cellar. Ideal for first-time buyers.",Solar Panels; Pool; Wine Cellar; Terrace,Linda Anderson,305-963-5485
MLS-100059,A23946199,2030 Ocean Drive,Miami Beach,Miami Beach,FL,33139,1250779,3,2.5,1800,2015,Condo,Active,2026-04-30,2026-06-01,45,Lovely condo in Miami Beach.,Pool; Updated Kitchen; Garage,Ana Gonzalez,305-942-5641
MLS-100060,A20526386,8997 Washington Avenue,Coral Gables,Miami,FL,33134,1725000,2,1.0,1212,2011,Condo,Pending,2026-05-27,2026-05-31,24,"Charming condo located in Coral Gables. Highlights: central ac, stainless steel appliances, gated community.",Central AC; Stainless Steel Appliances; Gated Community; Private Beach Access,Luis Davis,305-973-3292
